Kundennummer;Abnehmer Nr.;Steuernummer des Abnehmers;Creditreform;Entscheidungssumme 1 (Vertragsw hrung);Entscheidungsdatum;Ablaufdatum Betrag 
47658;2404919;DE813661265;8310032450;30000;01.12.2022;
44479;82407070;DE315881618;8030430287;40000;30.11.2022;
42503;1663516;DE812339561;8150131649;15000;30.11.2022;
34220;4219378;DE124467860;4250126216;10000;29.11.2022;
15527;11277168;DE813277859;2350090510;20000;29.11.2022;
28676;7242038;DE131940450;8190260418;30000;28.11.2022;
47192;10024259;DE145810772;7070000859;10000;25.11.2022;
57635;326186;DE132517549;8190388269;60000;25.11.2022;
34987;3980366;DE811136900;8030013393;25000;25.11.2022;
60608;34890112;DE813441283;2030006509;15000;24.11.2022;
57296;2744263;DE811142969;2250030838;10000;24.11.2022;
51938;95643044;DE146132010;7070070225;20000;24.11.2022;
52407;61663414;DE307874065;4330330478;15000;22.11.2022;
12236;14427394;DE813727335;2050582938;31000;22.11.2022;
28635;46383304;FR92889914628;;20000;22.11.2022;
43330;97733381;DE317378848;5330346423;25000;22.11.2022;
30324;13491771;DE813863200;8270026420;20000;21.11.2022;
57004;3932199;DE129275094;8170001557;20000;18.11.2022;
36205;15804177;DE242349370;7270235344;300000;18.11.2022;
12422;16763247;DE127473496;8030051751;10000;17.11.2022;
27971;42828560;DE340004346;2013002567;35000;15.11.2022;
51906;76862670;NL851144226B01;;15000;14.11.2022;
51900;60725388;DE271534868;4030085451;25000;14.11.2022;
59951;44187203;;2390530065;25000;14.11.2022;
35515;9969492;DE133255366;8190022508;20000;11.11.2022;
34720;23840371;IE3520151CH;;0;11.11.2022;
23317;4342973;DE127481508;8030010526;50000;10.11.2022;
32681;92359049;;5191071545;20000;09.11.2022;
46911;13018721;DE811726093;8170358444;30000;09.11.2022;
31746;3893909;DE115650097;2190001312;30000;08.11.2022;
55921;4251932;DE811151765;4110054247;60000;08.11.2022;
18575;72576309;DE330550667;6210450988;0;07.11.2022;
28671;66799650;DE309083429;5191118968;35000;08.11.2022;
57344;1885457;DE113354469;6110001577;10000;07.11.2022;
36631;16126476;CZ25820702;9210112992;15000;04.11.2022;
61836;91314948;LU30247452;;0;04.11.2022;
12180;54166681;BE0849320320;;45000;04.11.2022;
59925;13408234;DE134854182;2230001331;20000;02.11.2022;
62334;10236647;DE811186011;8070001245;30000;27.10.2022;
12304;99941399;DE278822879;6110415866;30000;26.10.2022;
34586;22894775;DE815788583;5010455255;13000;26.10.2022;
22426;23529384;;7010095650;15000;26.10.2022;
18036;21462839;NL853055956B01;;75000;20.10.2022;
34921;13344874;DE113573414;6210097967;15000;19.10.2022;
24142;792528;DE117777470;2050036142;15000;17.10.2022;
59922;42687835;DE815047922;5250214628;10000;17.10.2022;
14918;31765007;DE143846306;7170025551;30000;17.10.2022;
34323;21961688;DE291367170;7070322947;80000;17.10.2022;
15711;4209690;DE118855154;2150033720;10000;13.10.2022;
44381;13247307;LU14866030;;15000;13.10.2022;
30257;11202968;DE112615677;6110001934;70000;12.10.2022;
50077;2310195;DE146580890;8310000365;90000;12.10.2022;
25966;4734561;DE116373838;2050014217;100000;12.10.2022;
34911;24116907;DE293491775;;20000;11.10.2022;
32592;69806569;DE322088099;7050404089;20000;11.10.2022;
51356;2664442;BE0425399042;;20000;07.10.2022;
34413;22508035;DE313462228;4250617169;85000;05.10.2022;
31171;3397631;NL800250850B01;;500000;30.09.2022;
32031;10507756;DE157691980;8170330284;20000;30.09.2022;
36192;4124869;DE111797160;4270001710;90000;30.09.2022;
31151;3897766;DE349460777;5130032458;10000;29.09.2022;
44924;96992333;DE332661748;5030782895;10000;30.09.2022;
40588;96734459;DE815643672;5250253736;35000;06.10.2022;
33861;4033862;DE122526560;5150003254;30000;29.09.2022;
43435;4139930;DE129274690;8170256530;120000;28.09.2022;
36077;59439574;DE252117787;5310090739;10000;28.09.2022;
59921;10056676;DE120814171;5310001365;10000;28.09.2022;
61184;20790755;RO28190207;;15000;30.09.2022;
47644;11438242;DE813581290;2190383557;31000;27.09.2022;
52440;86676408;;8170261881;0;27.09.2022;
12441;3370250;NL009593135B01;;55000;26.09.2022;
59770;23944628;DE345182740;4330367780;15000;23.09.2022;
28669;76113915;DE315406763;4170454106;10000;22.09.2022;
11232;10233281;DE125499850;4250001313;19000;22.09.2022;
13932;4187754;DE811247624;2050033635;20000;20.09.2022;
50934;18655733;DE212411217;2290178933;20000;20.09.2022;
26212;13205338;DE117586123;2310064983;30000;15.09.2022;
59832;92162390;DE266242278;8350263145;0;14.09.2022;
20524;99029170;DE305875646;2151784246;20000;14.09.2022;
59914;9081370;DE118872866;2150020447;45000;14.09.2022;
46351;13978942;DE813559845;8190547513;15000;13.09.2022;
55936;23704425;ATU76359325;;30000;13.09.2022;
17462;13340988;DE124325131;4170093539;10000;13.09.2022;
46582;10527975;DE213072946;6110241177;10000;12.09.2022;
23699;1248762;LU11315637;;20000;09.09.2022;
59846;71257218;;5270089460;35000;08.09.2022;
43269;12845641;FR18324927789;;150000;08.09.2022;
45165;35452522;DE124281906;4270000369;10000;08.09.2022;
21722;46125496;DE813707793;3030182900;90000;07.09.2022;
22046;92745566;DE167582934;5170101649;0;06.09.2022;
27918;13130936;DE203939216;3250132700;130000;06.09.2022;
59907;11223709;DE234671224;7230028409;10000;06.09.2022;
16010;13186227;;4250154089;15000;02.09.2022;
13194;13218358;DE138994042;3250003491;50000;31.08.2022;
13239;9990182;DE812754945;4290127369;0;31.08.2022;
34019;13318986;DE113568745;6130000191;10000;31.08.2022;
59902;10056908;DE812593070;6130006468;15000;30.08.2022;
25883;13431720;DE124281043;4270035150;15000;25.08.2022;
51568;9050209;DE814993204;4090227395;30000;23.08.2022;
19258;13572350;DE189742788;7030042511;30000;23.08.2022;
27058;39497389;DE811148138;5030480594;10000;22.08.2022;
59889;39593146;;2050902558;70000;22.08.2022;
27725;15097070;DE205407972;8010092944;25000;19.08.2022;
22420;92361128;;5030804954;20000;19.08.2022;
20030;23960336;DE265863015;8330396546;10000;18.08.2022;
12807;17413988;DE260320565;8170810187;20000;18.08.2022;
15134;7198579;LU10034239;;30000;18.08.2022;
15084;2456066;DE152274099;7270100181;51000;17.08.2022;
59888;31151477;DE171036846;3250032328;65000;17.08.2022;
49988;9903988;DE131448310;8230001867;20000;16.08.2022;
46536;73912554;DE813719222;7270231255;40000;16.08.2022;
51543;9947798;;3070017087;20000;16.08.2022;
27962;13551034;DE224558746;3310044100;10000;15.08.2022;
15287;14061025;DE813610042;8230362384;0;15.08.2022;
62342;20697431;;5190448638;15000;12.08.2022;
24305;14264138;DE814623423;8150221231;20000;11.08.2022;
30918;13091248;DE121977217;5190128317;200000;11.08.2022;
34045;16339158;DE814695374;4190106423;200000;10.08.2022;
53349;12942563;DE190634703;4090150592;0;05.08.2022;
44703;24062933;DE812703085;;15000;04.08.2022;
43425;33523787;DE266260345;2012063643;45000;04.08.2022;
28044;13318592;DE227776272;7050020029;20000;04.08.2022;
62335;92436243;DE319580660;4250630813;45000;03.08.2022;
20473;20290913;DE286322695;2050878836;20000;02.08.2022;
26391;22312699;DE312660277;2090313563;20000;01.08.2022;
45636;13261592;DE146465799;7270045014;10000;28.07.2022;
34949;62974536;NL817710140B02;;50000;28.07.2022;
35573;10062105;DE145779084;7070005454;50000;27.07.2022;
24845;87613611;;2151908307;15000;26.07.2022;
55710;51700968;;7110326668;15000;26.07.2022;
52234;95091534;FR07484999578;;150000;27.07.2022;
44102;21481811;LU27260284;;30000;25.07.2022;
53356;63415665;;8170977674;35000;26.07.2022;
30711;45871355;DE813330354;8230342651;20000;22.07.2022;
46462;15170661;PL7280132515;;60000;22.07.2022;
36459;12749714;PT504779079;;30000;21.07.2022;
55975;86231022;;4250283806;30000;19.07.2022;
22240;18253976;FI21292030;;500000;29.07.2022;
48730;13594117;DE146609452;8210000816;10000;14.07.2022;
59854;22937358;DE815509940;4290297818;55000;14.07.2022;
25726;987578;DE136222745;2010016674;110000;14.07.2022;
44174;14628184;NL004691908B03;;0;13.07.2022;
24843;24046051;DE131053563;;15000;12.07.2022;
23703;7283635;DE146752969;7370051382;20000;11.07.2022;
15725;4176146;DE811443977;3170061051;10000;11.07.2022;
16005;13448540;DE218643108;5170001089;150000;07.07.2022;
59845;89363302;;2290332410;35000;07.07.2022;
61354;13422796;DE128665590;8030025913;20000;06.07.2022;
62333;82366313;;2290354047;40000;05.07.2022;
46513;76329413;DE297839351;4250493634;40000;05.07.2022;
48304;5918592;FI06546610;;35000;04.07.2022;
