kdn kontonr;name 001;ans ustid;ans ustid2;Bearbeiter;Bearbeitungsstatus;Bearbeitungsart;Organisationsebene;Adresse Hauptsitz
10021;Agravis Raiffeisen AG;DE 115657267;;SK;Grün;Final;Konzernmutter, nur Zweitanschrift;AGRAVIS Raiffeisen AG, Industrieweg 110, 48155 Münster
10031;AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH;DE119658169;;SK3;Grün;Final;Hauptsitz;
10041;ASAV hef- en hijstechniek b.v.;NL812593674B01;NL812593674B01;0;;;;
10048;Drekopf Umweltservice Gescher GmbH;DE230819630;;SK3;Grün;Final ;Hauptsitz;
10052;Beaphar B.V.;NL008804047B01;NL008804047B01;0;;;;
10080;Alles Miljø AS;NO988411302;;SK;Grün;Final;Hauptsitz;Alles  Miljø AS, Sundlandveien 4 3160 Stokke 
11007;N. AARNOUDSE B.V.;NL801300733B01;NL801300733B01;SK3;Grün;Final;Hauptsitz;  N. Aarnoudse BV, Expresso Transportmiddelen Nederland, Boerhaavelaan 21, 2992 KB Barendrecht
11041;ABUS Kransysteme GmbH;DE 811 575 164;;SK3;Grün;Final;Hauptsitz;
11109;AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH;DE119658169;;0;Grün;Final;Abhängige Niederlassung;
11243;APEX IMPORT AB;SE556591174901;SE556591174901;SK3;;;;Apex Import AB, Vitmossevägen 1, Port 14, SE-554 75 JÖNKÖPING
11274;Arnold GmbH;DE114119711;;SK3;Grün;Final;Hauptsitz;
11303;ASP bvba;BE0435876527;BE0435876527;0;;;;
11452;albw Handels GmbH;DE 813846857;;SK3;Grün;Final;Hauptsitz;
11628;KreisWirtschaftsBetriebe Goslar;DE115380916;;SK;Grün;Final;Hauptsitz;
11634;AWG Abfallwirtschafts-Gesellschaft Donau-Wald mbH;DE 811 755 060;;SK3;Grün;Final;Hauptsitz;
11678;AWG Abfallwirtschaftsgesellschaft mbH Wuppertal;DE 121091334;;0;Grün;Final;Abhängige Niederlassung;
11697;OMRIN Fryslân Miljeu Noordwest B.V.;NL807291109B01;NL807291109B01;SK3;;;Hauptsitz;B.V. Fryslan Miljeu Noord-West, Hidalgoweg 5, 8938 BA Leeuwarden
11718;Alteco Technik GmbH;DE812442980;;SK;Grün;Final;Hauptsitz;
11805;Ing. Walter-H. Ackrutat;DE814476550;;SK3;Grün;Final;Hauptsitz;
11808;ARDEX Anlagen GmbH;DE 812807178 ;;SK3;Grün;Final;Hauptsitz;
11820;Alert Materials Handling b.v.;NL808839342B01;NL808839342B01;SK3;Grün;Final;Hauptsitz;Alert Materials Handling b.v., Industrieweg 19a, 5753 PB Deurne, Niederlande
11866;AUVERGNE INDUSTRIE SPECIALITES;FR65320955396;FR65320955396;0;;;;
11892;AWG Abfallwirtschaft Landkreis Calw GmbH;DE217031883;;0;Grün;Final;Hauptsitz;
11929;SUMINISTROS ARSAM, S.A.;ESA08508418;ESA08508418;0;;;;
11930;Aichinger GmbH;ATU55026901;ATU55026901;0;;;;
11938;AToS Allgäuer Tool Service GmbH;DE 813 784 396;;SK3;Grün;Final;Hauptsitz;
11954;A.K.L Vertrieb und Service;DE115733731;DE115733731;0;;;;
11960;AUTOS-PIECES & INDUSTRIES;BE0426115060;BE0426115060;0;;;;
11990;AWWM-Germany GmbH;DE 815 5016 87;;SK3;Grün;Final;Hauptsitz;
11993;ALBEA Aluminiumbearbeitung GmbH;DE 811 719 609;;SK3;Grün;Final;Hauptsitz;
12001;ALBA Süd GmbH & Co. KG; DE166276179;;0;Grün;Final;Abhängige Niederlassung;ALBA Süd GmbH & Co. KG, Anton-Schmidt-Straße 25, 71332 Waiblingen
12012;Gemeente Breda;NL001336071B01;NL001336071B01;0;;;;
12020;ACTIWORK SAS;FR54420765547;FR54420765547;0;;;;
12041;APT'N EQUIPEMENT INDUSTRIE Sarl;FR15310257605;FR15310257605;0;;;;
12117;A.P.S. EURL;FR78483751244;FR78483751244;0;;;;
12180;AluComfort bvba;BE0849320320;BE0849320320;SK;Grün;Final;Hauptsitz;
12185;assistYourwork Firmeneinrichtungen GmbH & Co. KG;DE286324061;;SK3;Grün;Final;Hauptsitz;
12190;AVMD Group France;FR08504895798;FR08504895798;0;;;;
12195;AMO Sarl;FR29513647339;FR29513647339;0;;;;
12201;Firma Friedrich Alff;DE149616512;;SK;Grün;Final;Abhängige Niederlassung ;Firma Friedrich Alff, Inh. Helmut Alff, Nimstalstraße 13, 54614 Schönecken
12261;ARF;FR12328999362;FR12328999362;0;;;;
12271;Ing. Walter-H. Ackrutat;DE814476550;;0;Grün;Final;Abhängige Niederlassung;
12297;AWG Abfallwirtschaftsgesellschaft mbH Wuppertal;DE 121091334;;0;Grün;Final;Hauptsitz;
12314;ATP;FR62950556399;FR62950556399;0;;;;
12316;Airtech Europe Sarl;LU23575583;LU23575583;0;;;;
12337;Centre Militaire - Services Logistiques;LU11376220;LU11376220;0;;;;
12340;AVALEX;NL809565596B01;NL809565596B01;0;;;;
12344;Ammeraal Beltech Manufacturing B.V.;NL005277206B01;NL005277206B01;0;;;;
12360;AGMS;FR35750836785;FR35750836785;0;;;;
12372;Ing. Walter-H. Ackrutat;DE814476550;;0;Grün;Final;Abhängige Niederlassung;
12382;Abfallwirtschaft Rendsburg-Eckernförde GmbH;DE152531649;;SK;Grün;Final;Hauptsitz;
12396;Abfallwirtschaft Südholstein GmbH - AWSH;DE166409572;;SK;Grün;Final;Hauptsitz;
12407;AZmat;BE0835678259;BE0835678259;0;;;;
12427;ARMACELL Benelux S.C.S.;BE0460193833;BE0460193833;0;;;;
12432;AGRAVIS Technik BvL GmbH;DE811640541;;0;Grün;;Abhängige Niederlassung;Agravis Technik BvL GmbH, Kopenhagener Str. 1, 49716 Meppen
12438;ARTEC di Zille Stefano;IT01333140935;IT01333140935;0;;;;
12439;AVS DIFFUSION;FR46409070513;FR46409070513;0;;;;
12441;ANLAG International B.V.;NL009593135B01;NL009593135B01;SK;Grün;Final;Hauptsitz;Anlag International B.V. Ohmstraat 5, 6716 BA Ede, Niederlande
12451;AGRAVIS Technik Münsterland-Ems GmbH;DE811522370;;0;Grün;Final;Hauptsitz;
12452;Agravis Technik Heide-Altmark GmbH;DE214932531;;0;Grün;Final;Hauptsitz;
12472;AVRI;NL855828390B01;NL855828390B01;0;;;;
12476;Ing. Walter-H. Ackrutat;DE814476550;;0;Grün;Final;Abhängige Niederlassung;
12477;ALOREM SASU;FR64490247491;FR64490247491;0;;;;
12530;BAUHAUS SZAKÁRUHÁZAK;HU22516716;HU22516716;0;;;;
12537;ERIKS NV;BE0402956608;BE0402956608;SK;Grün;Final;Abhängige Niederlassung;ERIKS NV, Boombekelaan 3, 2660 Hoboken, Belgium
12548;BASF Schwarzheide GmbH;DE811122744;;0;Grün;Final;Hauptsitz;
12549;BASF Coatings Services GmbH;DE124902951;;0;Grün;Final;Abhängige Niederlassung;BASF Coatings Service GmbH, Minister-Stein-Allee 6, 44339 Dortmund
12564;BUCH Präzisionswerkzeuge GmbH;DE 251535407;;SK;Grün;Final;Hauptsitz;
12565;BUS Handelmaatschappij B.V.;NL003670314B01;NL003670314B01;SK3;;;;
12569;Jakob Becker GmbH & Co. KG;DE148633258;;SK;Grün;Final;Hauptistz/ Konzernmutter;
12573;Carl Beutlhauser Baumaschinen GmbH;DE811386754;;0;Grün;Final;Hauptsitz;
12597;BAUHAUS & Co KB;SE969630694401;SE969630694401;0;;;;
12610;BIJLSMA Hijs- en Heftechniek B.V.;NL800002933B01;NL800002933B01;0;;;;
12613;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12615;BayWa Baustoffe Weissig;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12617;BASF Coatings Services GmbH;DE124902951;;0;Grün;Final;Abhängige Niederlassung;BASF Coatings Service GmbH, Minister-Stein-Allee 6, 44339 Dortmund
12633;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12672;Biermans Ijzerhandel Breda B.V.;NL805744423B01;NL805744423B01;0;;;;
12692;BayWa AG Fürth;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12703;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12709;Blumenbecker Industriebedarf GmbH;DE214670936;;0;Grün;Final;Abhängige Niederlassung;
12733;Handelsonderneming Braakman;NL187555692B01;NL187555692B01;0;;;;
12823;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12837;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12843;BMT - Begemann Milieutechniek B.V.;NL007957592B01;NL007957592B01;0;;;;
12849;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12880;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12898;Lagertechnik Becker GmbH;DE275051033;;SK;Grün;Final;Hauptsitz;
12899;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12900;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12912;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
12926;Boels Verhuur B.V.;NL008439965B01;NL008439965B01;SK;Grün;;Hauptsitz;Boels Verhuur B.V., Dr. Nolenslaan 140, 6136 GV Sittard, Niederlande
